MAAN NIMI			KUVATIEDOSTO			INT. NOPEUS	INT. KAYTTAJAT
USA	9631418	293655404	usa.png	78.37	47200	12150	13.82	250000000	0.97	9.6	19150000	48.81
Japani	377835	127417244	japani.png	82.25	34000	14860	7.31	99182000	0.90	5.0	4452000	3.97
Meksiko	1964375	113724226	meksiko.png	76.47	13900	4450	19.13	31020000	0.73	5.4	2073000	26.49
Egypti	1001450	82079636	egypti.png	72.66	6200	1410	24.63	20136000	0.67	9.0	740000	10.77
Saksa	357022	81471834	saksa.png	80.07	35700	15820	8.3	65125000	1.28	7.1	2495000	26.08
Etelä-Afrikka	1219912	44344136	eafrikka.png	49.33	10700	2930	19.48	4420000	1.05	24.9	553000	9.19
Sudan	1886068	31894000	sudan.png	55.42	2300	680	36.12	4200000	0.48	18.7	98000	7.77
Saudi-Arabia	2149690	26131703	sarabia.png	74.11	24200	4400	19.34	9774000	1.72	10.8	2643000	17.67
Australia	7741220	21776711	australia.png	81.81	41000	8510	12.33	15810000	1.11	5.2	960800	50.05
Mongolia	1564116	2791272	mongolia.png	68.31	3600	10140	20.93	1000000	0.81	11.5	17000	7.34
Kreikka	131957	10760136	kreikka.png	79.92	29600	5940	9.21	4971000	1.24	12.5	371300	32.64
Ruotsi	449964	9001774	ruotsi.png	81.07	39100	29800	10.18	8398000	1.27	8.4	351100	49.46
Israel	20770	7473052	israel.png	80.96	29800	6780	19.24	4525000	1.21	6.7	238000	46.76
Paraguay	406750	6347884	paraguay.png	76.19	5200	2280	17.48	1105000	0.89	6.9	31000	13.73
Suomi	338145	5223442	suomi.png	79.27	35400	15430	10.37	4393000	1.47	8.4	217400	39.11
